,numWords,numOccurrences,averageWordLength,largestWordLength,numOfPunctuation,numRepeatedWords,lgNumOcc,lgWords,lg_averageWordLength,lg_largestWordLength
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
mean,24.56294,3.29587,4.48988210000002,9.7604,3.84148,2.50779,0.4489446674613196,2.954617192050168,1.4882381485915854,2.24934236877952
std,19.25466192838903,12.629765083031192,0.7578152980376995,2.27850910817619,3.667185009248723,3.4727539383176635,0.8278471870636781,0.7108528178764107,0.16372096028496527,0.24691317911798324
min,1.0,1.0,1.5,2.0,0.0,0.0,0.0,0.0,0.4054651081081644,0.6931471805599453
1%,4.0,1.0,3.07,5.0,0.0,0.0,0.0,1.3862943611198906,1.1216775615991057,1.6094379124341003
10%,7.0,1.0,3.63,7.0,1.0,0.0,0.0,1.9459101490553132,1.2892326482767593,1.9459101490553132
25%,12.0,1.0,3.98,8.0,2.0,0.0,0.0,2.4849066497880004,1.3812818192963463,2.0794415416798357
50%,20.0,1.0,4.4,10.0,3.0,1.0,0.0,2.995732273553991,1.4816045409242156,2.302585092994046
75%,32.0,2.0,4.91,11.0,5.0,4.0,0.6931471805599453,3.4657359027997265,1.5912739418064292,2.3978952727983707
90%,46.0,4.0,5.44,13.0,8.0,6.0,1.3862943611198906,3.828641396489095,1.6937790608678513,2.5649493574615367
99%,93.0,48.0,6.75,15.0,17.0,15.0,3.871201010907891,4.532599493153256,1.9095425048844386,2.70805020110221
max,421.0,779.0,11.0,62.0,118.0,73.0,6.658011045870748,6.042632833682381,2.3978952727983707,4.127134385045092
